prompt,hissab_expressions
"A $1,200 laptop is on sale for 25% off. If tax is 8%, what’s the final price?","discounted_price = $1200 - 25%,final_price = discounted_price + 8%"
"If I buy 3 shirts at $25 each with a 'Buy 2, Get 1 Free' deal, what’s the per-shirt cost?","total_cost = $25 * 2,per_shirt_cost = total_cost / 3"
"A store offers 15% off $500, plus an extra 10% for members. What’s the final price?","price_after_first_discount = $500 - 15%,final_price = price_after_first_discount - 10%"
"If a recipe serves 6 but I need 18 servings, how much do I multiply ingredients?","18 / 6"
"If a marathon is 26.2 miles and I run at 6.5 mph, how long will it take?","26.2 / 6.5"
"If a pizza has a 14-inch diameter, what’s its area in square centimeters?","radius_inches = 14 / 2,area_sq_inches_val = pi * radius_inches^2,area_sq_inches = area_sq_inches_val square inches,area_sq_cm = area_sq_inches to square centimeters"
"If a phone battery lasts 18 hours on 50% brightness, how long at 75% brightness (assuming linear drain)?",""
"If a country’s population grows from 50M to 65M in 10 years, what’s the annual growth rate?","((65M/50M)^(1/10) - 1) * 100"
"My salary is 5500 per month, I pay 2100 in rent, 300 in car payments, and 550 for groceries. I also earn extra 800. How much can I save in 10 years?","monthly_income = 5500 + 800,monthly_expenses = 2100 + 300 + 550,monthly_savings = monthly_income - monthly_expenses,yearly_savings = monthly_savings monthly to yearly,ten_year_savings = yearly_savings * 10"
"I want to buy a house that costs 350,000. If I save 15% of my 6200 monthly income and invest with a 7% annual return, how long will it take to save for a 20% down payment?",""
"Compare my monthly expenses in different currencies: My rent is $2100, converted to euros My car payment of 300 converted to British pounds My grocery bill of 550 converted to Canadian dollars","rent_in_eur = $2100 to EUR,car_payment_in_gbp = $300 to GBP,grocery_bill_in_cad = $550 to CAD"
"I'm planning a trip from New York to Tokyo. Calculate the total travel time and distance: Distance in miles Flight time Time zone difference",""
"If I travel from San Francisco to Sydney and my flight leaves on 2024.07.15 at 10:00 pm, when will I arrive local time?",""
"Calculate my ideal daily calorie intake based on: Height: 175 cm Weight: 70 kg Age: 35 Activity level: moderately active",""
"Track my weight loss progress: Starting weight: 90 kg Goal weight: 75 kg Current weight: 82 kg Calculate percentage of weight loss and remaining weight to lose","weight_lost = 90kg - 82kg,total_to_lose = 90kg - 75kg,percentage_lost = (weight_lost / total_to_lose) * 100,remaining_to_lose = total_to_lose - weight_lost"
"Calculate my potential solar panel savings: Current monthly electricity bill: 250 Solar panel system cost: 15000 Annual energy production: 90% of my current usage Electricity rate increase per year: 3%",""
"Compare energy consumption of different appliances: Refrigerator: 1.5 kWh per day Air conditioner: 3.2 kWh per hour TV: 0.1 kWh per hour Calculate monthly and yearly energy cost at $0.12 per kWh","fridge_monthly_cost = (1.5 * (1 month to days)) * $0.12,fridge_yearly_cost = (1.5 * (1 year to days)) * $0.12,ac_monthly_cost_per_hour_usage = 3.2 * $0.12,tv_monthly_cost_per_hour_usage = 0.1 * $0.12"
"Compare investment growth scenarios: Initial investment: 10000 Monthly contribution: 500 Investment options: a) 5% annual return b) 7% annual return c) 9% annual return Calculate total value after 20 years",""
"Recipe scaling and conversion: Original recipe: 2 cups flour, 250 ml milk, 3 eggs Convert to metric and imperial Scale recipe for 1.5x and 2.5x","flour_tbsp = 2 cups to tablespoon,milk_floz = 250 ml to fluid ounce,flour_1_5x_cups = 2 * 1.5 cups,milk_1_5x_ml = 250 * 1.5 ml,eggs_1_5x = 3 * 1.5,flour_2_5x_cups = 2 * 2.5 cups,milk_2_5x_ml = 250 * 2.5 ml,eggs_2_5x = 3 * 2.5"
"International Project Cost Comparison: Project budget: 75000 USD Convert to: a) Euros b) Japanese Yen c) British Pounds Calculate potential currency fluctuation impact","budget_eur = 75000 USD to EUR,budget_jpy = 75000 USD to JPY,budget_gbp = 75000 USD to GBP"
"Carbon Footprint Calculation: Monthly car mileage: 1200 miles Home electricity usage: 750 kWh Meat consumption: 2 kg per week Calculate approximate CO2 emissions",""
"Birthday Numerology meets Financial Planning: Born on: 15.07.1990 Calculate your lucky savings percentage based on birthday digits Apply this to monthly income of 5500",""
"My monthly salary is 5500. I pay 2100 in rent, 300 in car payments, and about 550 for groceries. I also earn an extra 800 most months from a side job. Approximately how much can I save in 5 years, assuming these amounts stay consistent?","monthly_income = 5500 + 800,monthly_expenses = 2100 + 300 + 550,monthly_savings = monthly_income - monthly_expenses,yearly_savings = monthly_savings monthly to yearly,five_year_savings = yearly_savings * 5"
"I want to buy a laptop that costs $1400. There's a 15% discount, but also an 8% sales tax applied after the discount. What's the final price?","price_after_discount = $1400 - 15%,final_price = price_after_discount + 8%"
"My current salary is 60,000 per year. If I get a 4% raise next year, and then a 5% raise the year after that, what will my annual salary be in two years?","salary_after_1_year = 60000 + 4%,salary_after_2_years = salary_after_1_year + 5%"
"I invested $5000. After one year, it grew by 12%. The next year, it unfortunately lost 5% of its current value. How much is my investment worth now?","value_after_1_year = $5000 + 12%,value_after_2_years = value_after_1_year - 5%"
"I need to save $10,000 for a down payment in 3 years. How much do I need to save per month on average?","total_months = 3 years to months,monthly_savings_needed = $10000 / total_months"
"I'm planning a trip from London to Tokyo. The flight time is 12 hours and 30 minutes. If I leave London at 10:00 AM GMT, what time will I arrive in Tokyo local time (JST is GMT+9)?","(10:00 AM GMT + 12 hours 30 minutes) in JST"
"I'm driving 450 miles. My car averages 25 miles per gallon, and gas costs $3.80 per gallon. How much will the gas for the trip cost?","gallons_needed = 450 / 25,trip_cost = gallons_needed * $3.80"
"I'm running a 10-kilometer race. My goal is to finish in under 50 minutes. What average speed do I need to maintain in miles per hour?",""
"A train leaves Station A at 8:15 AM and arrives at Station B at 11:45 AM. The distance is 165 kilometers. What was the average speed of the train in km/h?",""
"A recipe calls for 250 grams of flour and serves 4 people. I need to make enough for 10 people. How many kilograms of flour do I need?","flour_per_person_g = 250 / 4,total_flour_g = flour_per_person_g * 10,total_flour_kg = total_flour_g grams to kilograms"
"I need to paint a wall that is 12 feet high and 25 feet long. One gallon of paint covers 400 square feet. How many gallons do I need? Will a single gallon be enough?","wall_area_sq_ft = (12 * 25) square feet,gallons_needed = wall_area_sq_ft / (400 square feet)"
"I'm mixing concrete. The ratio is 1 part cement, 2 parts sand, 3 parts gravel. If I use 5 kilograms of cement, how much sand and gravel do I need in total weight (kg)?","sand_needed = 5 kilograms * 2,gravel_needed = 5 kilograms * 3,total_sand_gravel = sand_needed + gravel_needed"
"Convert a temperature reading of 25 degrees Celsius to Fahrenheit and Kelvin.","25 Celsius to Fahrenheit,25 Celsius to Kelvin"
"A chemical solution has a concentration of 50 grams per liter. How many milligrams of the chemical are in 150 milliliters of the solution?","concentration_g_ml = (50 grams) / (1 liter to ml),chemical_in_grams = concentration_g_ml * (150 ml),chemical_in_mg = chemical_in_grams to milligrams"
"Sound travels at approximately 343 meters per second in air. If I see lightning and hear the thunder 5.5 seconds later, roughly how many miles away was the lightning strike?","distance_meters = 343 * 5.5,distance_miles = distance_meters meters to miles"
"I bought 5 items costing 12.50, 8.99, 23.00, 5.75, and 19.99. There's a 10% discount on the total. What is the average cost per item after the discount?","total_cost_before_discount = 12.50 + 8.99 + 23.00 + 5.75 + 19.99,total_cost_after_discount = total_cost_before_discount - 10%,average_cost_per_item = total_cost_after_discount / 5"
"Find the difference in age between someone born on June 15, 1985 and someone born on March 1, 2003. Give the answer in years, months, and days.","(March 1, 2003) - (June 15, 1985) to years, months, days"
"What's the total storage capacity in Gigabytes of 3 devices: one with 256 GB, one with 0.5 Terabytes, and one with 512000 Megabytes?","device1_gb = 256 GB,device2_gb = 0.5 Terabytes to GB,device3_gb = 512000 Megabytes to GB,total_storage_gb = device1_gb + device2_gb + device3_gb"
"Calculate 2 raised to the power of 16, then find the square root of the result, and finally express that in hexadecimal.","power_val = 2^16,sqrt_val = power_val^(1/2),hex_val = sqrt_val to hexadecimal"
"Find the LCM of 12, 18, and 30. Then calculate the GCD of the same numbers. What is the product of the LCM and GCD?","lcm_val = lcm(12, 18, 30),gcd_val = gcd(12, 18, 30),product_lcm_gcd = lcm_val * gcd_val"
"My monthly income is $6,200. I spend $1,800 on rent, $400 on utilities, $600 on food, and $350 on transportation. I also have a student loan payment of $200 per month. If I save 15% of my remaining income, how much will I have saved in 5 years?","total_expenses = $1800 + $400 + $600 + $350 + $200,remaining_income = $6200 - total_expenses,monthly_savings = 15% of remaining_income,yearly_savings = monthly_savings monthly to yearly,savings_in_5_years = yearly_savings * 5"
"I have a SaaS where I provide APIs for use to my customers. The product is using AI APIs the cost of 0.10 per 1million tokens My product pricing is $50 per year and it allows fixed number of requests per day. Assuming each requests uses 6000 tokens, how many maximum requests per day can I allow uses to not make a loss ?","cost_per_token = $0.10 / 1000000,cost_per_request = 6000 * cost_per_token,yearly_revenue_per_user = $50,daily_revenue_per_user = yearly_revenue_per_user / (1 year to days),max_daily_requests = daily_revenue_per_user / cost_per_request"
